,Text
0,'@murtazasolangi Yeh hoyi na baat....ub he to Putin der jaye ga or fouj waapis bula ker aap se muaafi bhi maangay ga.....'
1,'@Hina_qureshi_22 Aap roz itni jaldi utha jate ho'
2,'@USMANAH51877972 @ChaharJatt @AMISHDEVGAN Va chacha hum nahi sunenge tera dekh rahe hain eukrain ka pm bol raha hai  aap hi bach sakta hain hain modiji isliye  ab phirr se aane chahiye modiji dhyan me rakhiye'
3,'@sensiblegirll Queen aap bhi so jao na😒😴'
4,'@amrishrau Sir aap ki company pine labs ne mere paise nahi de rahi hai aap ko 2 bar mail kar diya hai aap koi jabab nahi dete'
5,'@Mystic_Soul25 @SK10940154 @wsk4193 @DipenKBhattach1 Have AAP Ka facts checked
6,'@ketikasharmaa Kyaa mere nasseb mai hai aap se milnaa https://t.co/DBqGQ44ZLB'
7,'Sir aap ne indra gandhi credit card ki yojana laye the lekin bank wale pesa nahi de rhe hai us ka kuch kro plz https://t.co/QepzBFzl9i'
8,'@AAnamika_ Fine. Aap kaise ho'
9,'@uzk_68 @ImranARaja1 Lay lee aap nay wo bhe tikka k.... lol'
10,'@ketikasharmaa Bahut hot lagti ho aap'
11,'@Vishalkkotian @ColorsTV @BiggBoss Isiliye aap itna jaldi bahar aaye the'
12,'@KumarMj70645210 Odisha se kon se district me se ho aap'
13,'@_Dhanoo All the best aap bahut acha karogi👍👍👍'
14,'Recomendações da Academia Americana de Pediatria (AAP) sobre 😷 em crianças [atualizada em 6-jan-22]: \n“A APP recomenda FORTEMENTE que qualquer pessoa c/ + de 2 anos
15,'@joBeeGeorgeous Aap yahan hi fees kyo nahi kam kar dete. Education should be affordable to all sections of society. As for the present fees structure; exorbitant
16,'@postbyamit Agar aap 30 days ki series kar rhe toh hum visuals bhi chahte hain'
17,'@eishmeerkhan @Schemering_ Phir tau aap lucky hui naa.. \n😂🤐😂🤐🙏🙏'
18,'@narendramodi Modi ji aap is desh ke liye bhgvan ho. Jai ho modi ji ki 🙏🙏🙏'
19,'@Nawab_786_ Aap sad rehtey kyu always??🤔'
20,'@siasatpk @GFarooqi Aur agar fail ho gai toa aap kay sahab Bahadur Kia karengay. Jail jain gay
21,'@SonmymindWhat @BastiaanFff Broodje aap verhaal: #Putin is te oud om young global leader te zijn bij het #WEF. Toen hij de #WEF gerechtelijke leeftijd had zat #Putin bij de KGB. Het is #KlausSchwab zijn natte droom.'
22,'@kkundrra aur @itsmetejasswi aap dono ke photo aur video nahi aata hai tab dil bakaraar ho jata hai\n\n#TejRan\n#RulaDetiHai \nRULA DETI HAI X TEJRAN'
23,'@NimraReal Yaar aap pehle khud decide karlo phir hum se poch lena.... https://t.co/SgKpjTGloD'
24,'@hezelya AAP din ako kaso ung akin walang speed card HAHAHAHAHA'
25,"@FangirlTejran Don't be sad, Don't think about the results , aap jitna kar sakti ho utha kro.."
26,'@MirMAKOfficial @ImranKhanPTI Like seriously?\nAre you day dreaming?\nHow can be so dumb?\ni just hope you have some sense so please just clear your facts.\nAnyways Pakistan pe jo Penalty Lagaai hai 55 Million ki US ne usey de paoge aap Log?'
27,'Hi! My name is Eleanor. I’m pansexual
28,'@ReallySwara @priyankagandhi Aaj toh aapki favourite lady ayi hai \nKhus toh bhut hogi aap'
29,'Tamam Doston se request hay ke is MC se bach ke rahen ye pehly No k Fraud
30,'@TajinderBagga Paji politics ka to jayeda pata nahi lekin business men tagde ho aap #ek din Ambani jarur banoge'
31,'@dstylerider1 @LakhwaraRakesh @saswatmishra007 @Maqsood63697452 @ReallySwara Being muslim hum 1 nirankar ishwer ki ibadat uske ghar me karte hai jisey hum masjid kehte ha wo masjid jise banane keliye chatrapati shiva jee maharaj ne bhi jaga di hai aap sirf 1 mandir batau do nirankar ishwer ka hindustan me aur nahi bata sakoge kyu ke hai hi nai..'
32,'@noooneecaress &lt;3\nMene pkr li ye lo aap bhi lo mere paas zada agyi &lt;3 https://t.co/dAsWncK9Je'
33,'@sakshijoshii @sakshijoshii Madam apko hamesha sirf fake Propaganda karna hota hai
34,'@TJuicy33 @AxieInfinity My team is AAP
35,'@ZeeNews Sabse bekar reporter aap hi log ho jakar janta se puch lo'
36,'@dstylerider1 @LakhwaraRakesh @saswatmishra007 @Maqsood63697452 @ReallySwara Islam me koi burayi nahi quran me likha hai tumhe tumhara deen aur mujhe mera deen tum puju patharo ko janwaro ko suraj ko chand ko aur hum pujte hai above mention cheezo ko banane wale ko to ab aap khud faisala karlo kaun ishwer ka bhakt hua mai ya aap..?'
37,'@WFKARS It’s like an AAP badge!'
38,'@FTI_momentum @WilsErnestwils Inderdaad
39,'@MeharunissaKhan @MysteryChic999 Rubina ke trend me\nYa yahan shout out milega\n\nAap aur main dono ke fan hai\n\nAitbaar kar lo\nI Respect you'
40,'@anandyadav1508 @myogioffice Bhai sahab 5 saal me to dusre up ko 15 saal piche bhej denge....jinko aap chahte ho unhone itne saalo me up ko kya diya???iss sarkar ne to izzat se aur shaan se Jeena sikhaya...rahi baat naukariyo ki to jo kabil hn wo paa jaa rahe hn job...so again bjp in up for safty'
41,'You can NEVER win with desi families. I repeat never. Mental patient bana ke chorte hain aap ko
42,'We won’t give any tax benefits to the taxpayers #BudgetSpeech2022 but we will give encouragement to supply side rather focusing on demand(buyers) side. #HamarePasTejaswiLog hai but aap apka politics keliye use kar raha hai. Like now 🤕(2/2) @RahulGandhi @PMOIndia'
43,'@aajtak @SwetaSinghAT Aap se putin puch kar k hi aag ki ladai karenge'
44,'@MaleehaHashmey Ik life long pm hay inshallah. Aap ko takleef tuo ho gi'
45,'@aajtak @SwetaSinghAT Aap log itne talented ho ki samajh gaye baaki janta to..... Hai'
46,'Ek to mjjsy pyaar ni krty 
47,'@MathewCongress @BollywoodKhabar @ANI Aap logo ka koi Jamir jesa kuch hai k nahe hai?'
48,'@Ratedswag76 @DrSJaishankar Eastern border pe halat aise hi aap puchiye nhi. Kar rhe toh apne kaam me tezi layiye.'
49,'@dstylerider1 @halaaluddin @Maqsood63697452 @saswatmishra007 @ReallySwara Kisne kaha aap se ishwer allah wahid guru yeh sab 1 hi hai aap ko basic hi nahi malum to aap se tweeter pe kya baat ki jaye i think abhi aap facebook aur youtube pe training lelo kyu ke aap sirf sunke aaye ho aur mai padhke aaya jisey yeh nahi pata allah aur ishwer 1 hai kya kahu'
50,'@ranvijaylive Aap aise bacche ki bat to ni kr rhe hai....???? https://t.co/lPf0cU4qpv'
51,'@DhGurjar Bank account number aur password Bhejo turant aap!'
52,'So kya kahna hai @Narendra modi ji? Jab sab apni jaan leke bhagne ko taiyar aur ye faisal naam ka mulla ne kamal ki jaan lene ke liye ticket hone ke bawajud ghar na aya..aise mullo ko he apke chelo ne lynching karte hai aur aap enjoy karte hai https://t.co/imgBkWJ5GT'
53,'jeetne do yaar kal ghareeb hain aap agle saal jeet lena phir @iMRizwanPak'
54,'@mirzaiqbal80 sir aap bhi siyasat me qadam rakh rahe haikya🤔🤔'
55,'@_riyaz_aly Riyaz kl Sunday h toh aap 3-4 bje ke beech m aajaoo✋🏻 #riyazishere'
56,'Aur m aap dono ki beti 🙈 uske baad se hum papa betu bangaya.. aapki aur meri saaari achii memory bss ek memory ko chodke woh block wala.. aap acheese baat bhhii nhi karrahe thee aur seedha block m bahoot naraz aur gussa hogai thee pe uske baad se humari bond aur strong hogai 🥺'
57,'Baad toh hum dono ki bhii bonding aur strong hogaii 😋😍 fir hum raat raat jaghke space p gaana sunte thee aur baatein karte theee...\nFir ek chidiya ghar name ka gc bana thaa aur waha hum movie ki script likhrahe thee aur sabko role derahe thee 😭😂 aap aur pli husband wife thee'
58,'Hum ek gc m mile theee.. achii tarah baat bhii nhi kartee thee pr dheere dheere hum baat karne lage aur gc ke liye script bhii likhne lage.. kitni bakwaas script thaa wohh kyu ki uses movie ka hero hi bekkar thaa 😭😭 Fir uss gc p pli aayii aur aap dono ki bonding hogaiii.. uske'
59,@0997_Moni Good .\nJarur aayenge ... \nAap bhi 30 february tk wait krna ....\n\nDon't marry without feb 30 ..👍🙏🏻🙏🏻
60,'@Sami_n_ Walaikum assalam\nKhairiyat se hai aap'
61,'@Dani_Sid_Shukla Mujhe na bohot dino se aapko thank you bolna tha \nThank you so much \nAap jo Sidharth ki pic dalte hona wo mere liye new hoti hai maine kabhi nahi dekhi 
62,'@Fasih_Uddin @RachaelMoris OOO th tm apne aap ko pakistan ni maante ho very good ... Yes you all were Hindustani once ohh how I forget that Abba ko bhula ni paaye koi ni😂😂😂😂😂'
63,'Good morning cutie pie @sidharth_shukla 😘❤️\n\nI love you sid aap Jahan bhi raho hamesha khush raho ❤️😍\n\n#SidharthShukla\n#SidHearts https://t.co/NiJAu641qH'
64,'@SHABAZGIL Gill shb right frmya aap nu'
65,'@LakhwaraRakesh @saswatmishra007 @Maqsood63697452 @dstylerider1 @ReallySwara Sir aap mujhe quran se kuch aisa batau jo galat hai hadeese mai khud kehta 1lakh se zyada manipulated hai hindo logo ko muslims ki jannat ki hoorey nazar aati hai apne dharm me swarg ki apsaraye kyu nazar nahi aati hai koi jawab..?\nAap quran ke bajaye vedo ko galat sabit kardo.'
66,'@Shams__Rind @CricketAus Allah ka wastaa aap se please nazar nahi lagao please please please'
67,'@Shailen44859635 @Yodha3352 @Raghuraj_Bhadri Ji Bilkul shi bole Aap bhai sahab'
68,"Welcoming, cool person. Very friendly and gives honest opinions. Daring bhi hai aap.😎(due to dp...which you had to keep due to my tag😂). But yeah honestly... you're quite daring. You don't refrain from keeping out your honest opinions on a show which you love.(2/2)"
